date;exogenous;variable;value
2023-04-01;initial conditions;gw;-0,024703577173655233
2023-07-01;vacancies;gp;0,014187493505090909
2023-07-01;vacancies;gw;1,247570026140961907
2023-07-01;catch_up;gp;0,003606810000825467
2023-07-01;catch_up;gw;2,630203323172987773
2023-07-01;energy prices;gp;-0,114765295242611490
2023-07-01;energy prices;gw;-0,373139935535577560
2023-07-01;food prices;gp;-0,094556694946734687
2023-07-01;food prices;gw;-0,129588835086127396
2023-07-01;shortages;gp;0,225997921641337723
2023-07-01;shortages;gw;-0,007452223574228256
2023-07-01;initial conditions;gp;-0,016708954995695469
2023-07-01;initial conditions;gw;0,166257757122973082
2023-10-01;vacancies;gp;0,014595416215990920
2023-10-01;vacancies;gw;1,245733462084714027
2023-10-01;catch_up;gp;0,029095268740817581
2023-10-01;catch_up;gw;2,196991572053379471
2023-10-01;energy prices;gp;0,094589026015782784
2023-10-01;energy prices;gw;-0,398087600384648521
2023-10-01;food prices;gp;0,364250710555888868
2023-10-01;food prices;gw;-0,464927124602497521
2023-10-01;shortages;gp;0,177312457315550231
2023-10-01;shortages;gw;-0,027884707141648146
2023-10-01;initial conditions;gp;-0,015022089067119548
2023-10-01;initial conditions;gw;0,123765331453868033
2024-01-01;vacancies;gp;0,015026463136549761
2024-01-01;vacancies;gw;1,199116445479596615
2024-01-01;catch_up;gp;0,027315819982795642
2024-01-01;catch_up;gw;2,096311647566687419
2024-01-01;energy prices;gp;0,046631252136456081
2024-01-01;energy prices;gw;-0,285533312342771239
2024-01-01;food prices;gp;-0,073254837568490938
2024-01-01;food prices;gw;-0,413323317463863749
2024-01-01;shortages;gp;0,160242920604377448
2024-01-01;shortages;gw;-0,044704678070973003
2024-01-01;initial conditions;gp;-0,010198010943525182
2024-01-01;initial conditions;gw;0,113394107669819943
2024-04-01;vacancies;gp;0,014032532445966583
2024-04-01;vacancies;gw;1,230337564784962145
2024-04-01;catch_up;gp;0,029955598169780329
2024-04-01;catch_up;gw;1,515594245549714225
2024-04-01;energy prices;gp;-0,094156507243321919
2024-04-01;energy prices;gw;-0,207036178278087402
2024-04-01;food prices;gp;0,779875571032773274
2024-04-01;food prices;gw;-0,417394482774015252
2024-04-01;shortages;gp;0,116183893962595874
2024-04-01;shortages;gw;-0,050589219998040669
2024-04-01;initial conditions;gp;-0,002793131600488996
2024-04-01;initial conditions;gw;0,076964602583260433
2020-01-01;total simulation sum;gp;0,859456997302851966
2020-01-01;total simulation sum;gw;1,436790860549234328
2020-04-01;total simulation sum;gp;-0,341549202195063517
2020-04-01;total simulation sum;gw;1,554459676137002422
2020-07-01;total simulation sum;gp;0,103406099919429978
2020-07-01;total simulation sum;gw;0,857545913754695466
2020-10-01;total simulation sum;gp;0,014170004816731500
2020-10-01;total simulation sum;gw;1,690699255599884543
2021-01-01;total simulation sum;gp;1,736953350875650726
2021-01-01;total simulation sum;gw;1,235666556355278445
2021-04-01;total simulation sum;gp;0,901785832299912604
2021-04-01;total simulation sum;gw;2,506898949559007495
2021-07-01;total simulation sum;gp;1,485810836716128458
2021-07-01;total simulation sum;gw;2,261297026847934433
2021-10-01;total simulation sum;gp;2,470742108075071997
2021-10-01;total simulation sum;gw;2,195909260129228269
2022-01-01;total simulation sum;gp;3,152702040373303483
2022-01-01;total simulation sum;gw;2,705339087632659734
2022-04-01;total simulation sum;gp;4,015930449963926563
2022-04-01;total simulation sum;gw;2,792778894763717989
2022-07-01;total simulation sum;gp;3,002002872039231551
2022-07-01;total simulation sum;gw;3,287027326877889344
2022-10-01;total simulation sum;gp;2,273747820018584331
2022-10-01;total simulation sum;gw;2,803816508330218671
2023-01-01;total simulation sum;gp;3,337166447901064092
2023-01-01;total simulation sum;gw;2,869233301118915058
2023-04-01;total simulation sum;gp;0,430931993760911514
2023-04-01;total simulation sum;gw;3,350465728349477423
2023-07-01;total simulation sum;gp;0,017761279962212450
2023-07-01;total simulation sum;gw;3,533850112240989549
2023-10-01;total simulation sum;gp;0,664820789776910837
2023-10-01;total simulation sum;gw;2,675590933463167342
2024-01-01;total simulation sum;gp;0,165763607348162811
2024-01-01;total simulation sum;gw;2,665260892838495987
2024-04-01;total simulation sum;gp;0,843097956767305146
2024-04-01;total simulation sum;gw;2,147876531867793481
